Timestamp,Accepted,Name,Vendor,Organization,Website,Twitter,Facebook,Previous-Submission,Email,Phone,Employer,Job-Title,Biography,Co-presenter,Co-presenter-Name,Multi-Session,Multi-Session-Number,"Availability [Thursday, October 13th - Session 1]","Availability [Thursday, October 13th - Session 2]","Availability [Thursday, October 13th - Session 3]","Availability [Friday, October 14th - Session 4]","Availability [Friday, October 14th - Session 5]",Availability-Notes,Session,Location,Presentation-Title,Objectives,Presentation-Abstract,Presentation-Description,Conference-Strand,File-Upload,Newsletter
2009,Yes,Kathy St. John,,,,,,,,,,,,,,TRUE,2,,,,,,Session 1,1,,"Teaching Adults To Read: Comprehension, Part 1","PD Self Assessment Descriptors: 7a.3.2, 7e.5.3",Comprehension is one of the components of reading. Basic formats for assessing comprehension will be reviewed and discussed for the purpose of informing instruction. Participants will learn about approaches for identifying comprehension skills that should be taught and will practice making instructional decisions about comprehension.,,ABE/GED,,
2009,Yes,Steve Hinds,,,,,,,,,,,,,,,,,,,,,Session 1,1,,Meeting The GED-To-College Math Transition Challenge: An Overview,"PD Self Assessment Descriptors: 2.3.6, 3.7, 7a.2.1, 7a.3.1","In this session, we will clarify the differences between math content on the GED and typical college placement exams. The presenter will follow this with a series of recommendations on how to bridge this gap for college-bound students. Classroom footage will be shown and handouts will be provided.",,College Transition,,
2009,Yes,David Koppers,,,,,,,,,,,,,,,,,,,,,Session 1,1,,Sharing Stories: An Intergenerational Project For Recent Immigrants,"PD Self Assessment Descriptors: 6.2, 6.3, 6.4, 8.6","The workshop leaders will present a model for intergenerational storytelling which was used in ESL classes in the Denver immigrant and refugee community. Presenters will show examples of the books of stories that were produced, as well as successes and challenges they faced.",,Family Literacy,,
2009,Yes,Federico Salas- Isnardi,Yes,not available,,,,,,,,,,,,,,,,,,,Session 1,1,,Prepare Your Adult Education Students For The Future,"PD Self Assessment Descriptors: 3.7, 4.5, 5.9","Your students’ Future is in your hands! Learn about techniques that enable students to progress through a program that prepares students for 21st Century skills both inside and outside the classroom. Future, a new 6-level adult course from Pearson Longman is about R.E.S.U.L.T.S.—for the teacher and for the student.",,ABE/GED,,
2009,Yes,Dan McLaughlin,Yes,not available,,,,,,,,,,,,,,,,,,,Session 1,1,,Understanding Basic Skills For All Levels In 10 Languages,"PD Self Assessment Descriptors: 5.7, 6.3, 8.6",The Parent’s homework Dictionary is the perfect learning tool for adult education students. This book covers the main subjects for all levels of learning. This book is also written in 10 languages to help non-English speakers transition to English.,,ESL,,
2009,Yes,Jessie Hawthorn,,,,,,,,,,,,Yes,Kathleen Holmes,,,,,,,,Session 1,1,,LIA: Choose Your Plan Of Action,"PD Self Assessment Descriptors: 10.2, 10.8.1","This Literacy Instruction Authorization (LIA) advising session will assist participants in developing a plan of action. Adult basic educators can demonstrate competency in the LIA objectives by taking EDU courses through a community college, submitting a portfolio to the LIA Committee or through a combination of courses and portfolio.",,Admin/Prof. Dev,,
2009,Yes,Lena Karabushin,,,,,,,,,,,,,,,,,,,,,Session 1,1,,Job Applications Made Easy,PD Self Assessment Descriptor: 6.3,"Filling out job applications is tedious and complicated for any job seeker! Let us share our effective and interactive strategies you can use with your second-language learners, especially recent arrivals. Collect personal employment information in the Personal Data Sheet and practice filling out job applications with the Magnetic Application Board.",,Workforce,,
2009,Yes,Kathy St. John,,,,,,,,,,,,,,TRUE,2,,,,,,Session 2,2,,"Teaching Adults To Read: Comprehension, Part 2","PD Self Assessment Descriptors: 7a.3.2, 7e.5.3",Comprehension is one of the components of reading. Basic formats for assessing comprehension will be reviewed and discussed for the purpose of informing instruction. Participants will learn about approaches for identifying comprehension skills that should be taught and will practice making instructional decisions about comprehension.,,ABE/GED,,
2009,Yes,Steve Hinds,,,,,,,,,,,,,,TRUE,2,,,,,,Session 2,2,,"Effective Math Pedagogy, Part 1","PD Self Assessment Descriptors: 3.7, 2.3.6, 7a.3.1, 7a.2.3","In this session, we will clarify the differences between math content on the GED and typical college placement exams. The presenter will follow this with a series of recommendations on how to bridge this gap for college-bound students. Classroom footage will be shown and handouts will be provided.",,College Transition,,
2009,Yes,Theresa Harpole,,,,,,,,,,,,,,,,,,,,,Session 2,2,,Instruction Targeted For TABE Success,"PD Self Assessment Descriptors: 4.6, 5.9",Instruction Targeted for TABE Success combines computer-based instruction with Contemporary’s Skill Assessment Modules creating a comprehensive preparation system for students taking the TABE. This software program combines the power of skill-based study plans with targeted skill-level tests to help ensure student NRS gain.,,ABE/GED,,
