year,image_path,theme,start_date,end_date,location,address,city_state_zipcode,phone,website,reservations,end_offer,offer1,offer2,price1,price2,lunch-only,membership,registration,registration_mail,program_path,era
2016,,Empowering Learners through Partnerships and Innovation,2016-10-13,2016-10-14,Westin Westminster,10600 Westminster Blvd,"Westminster, CO 80020",(303) 410-5000,http://www.westindenverboulder.com/,https://www.starwoodmeeting.com/events/start.action?id=1511022308&key=300336A7,2016-09-19,$100.00,$150.00,$150.00,$200.00,$30.00,TBD,https://www.mkt.com/caepa,"1332 Marigold Ct. Lafayette, CO 80026",,CAEPA
2015,,"Moving Forward with Innovation, Opportunity, and Action",2015-10-23,2015-10-24,Westin Westminster,10600 Westminster Blvd,"Westminster, CO 80020",(303) 410-5000,http://www.westindenverboulder.com/,,2015-10-01,$75.00,$100.00,$125.00,$175.00,$30.00,,https://www.mkt.com/caepa,"1332 Marigold Ct. Lafayette, CO 80026",http://goo.gl/oO8mtT,CAEPA
2013,,Adult Education: Imagine the Possibilities,2013-10-18,2013-10-09,The Antlers Hilton,4 S Cascade Ave,"Colorado Springs, CO 80903",(719) 955-5600,http://antlers.com/,,,,,,,,,,,,CAEPA
2012,,Gearing Up for Change,2012-10-12,2012-10-13,Omni Interlocken Resort,500 Interlocken Blvd,"Broomfield, CO 80021",(303) 438-6600,https://www.omnihotels.com/hotels/denver-interlocken,,,,,,,,,,,,CAEPA
2011,,Maximizing Resources in Challenging Times,2011-10-21,2011-10-22,Marriott Denver Tech Center,4900 S Syracuse St,"Denver, CO 80237",(303) 779-1100,https://www.denvermarriotttechcenter.com/,,,,,$115.00,$195.00,,,,,,CAEPA
2010,,The Power of Adult Learning,2010-10-22,2010-10-23,Marriott Denver Tech Center,4900 S Syracuse St,"Denver, CO 80237",(303) 779-1100,https://www.denvermarriotttechcenter.com/,,,,,,$195.00,,,,,,CAEPA
2009,,Adult Education: Partnering for a Better Colorado,2009-08-05,2009-08-07,Beaver Run Resort,620 Village Rd,"Breckenridge, CO 80424",(970) 453-6000,http://www.beaverrun.com/,,,,,,$180.00,,,,,,CAEPA
2008,,Sharing Success: Adult Learners in Transition,2008-03-08,2008-03-10,Sheraton Denver West,360 Union Blvd,"Lakewood, CO 80228",(303) 987-2000,http://www.sheratondenverwest.com/,,,,,,,,,,,,CAEPA
2007,,Engaging Diverse Learners,2007-02-07,2007-02-09,Omni Interlocken Resort,500 Interlocken Blvd,"Broomfield, CO 80021",(303) 438-6600,https://www.omnihotels.com/hotels/denver-interlocken,,,,,,,,,,,,CAEPA
2006,,Leading Learners to a Higher Level,2006-04-26,2006-04-29,Adams Mark Hotel,1550 Court Place,"Denver, CO 80202",,,,,,,,$245.00,,,,,,CAEPA
